 X,Y,I,J,PERIOD
   737641.,  5085445.,  3, 83,      4.280E-04
   737641.,  5085495.,  3, 84,      3.959E-04
   737641.,  5085545.,  3, 85,      3.610E-04
   737641.,  5085595.,  3, 86,      3.299E-04
   737641.,  5085645.,  3, 87,      3.068E-04
   737641.,  5085695.,  3, 88,      2.923E-04
   737641.,  5085745.,  3, 89,      2.822E-04
   737641.,  5085795.,  3, 90,      2.690E-04
   737641.,  5085845.,  3, 91,      2.539E-04
   737641.,  5085895.,  3, 92,      2.386E-04
   737641.,  5085945.,  3, 93,      2.178E-04
   737641.,  5085995.,  3, 94,      1.879E-04
   737641.,  5086045.,  3, 95,      1.561E-04
   737641.,  5086095.,  3, 96,      1.294E-04
   737641.,  5086145.,  3, 97,      1.090E-04
   737641.,  5086195.,  3, 98,      9.307E-05
   737641.,  5086245.,  3, 99,      8.023E-05
   737641.,  5086295.,  3,100,      6.979E-05
   737691.,  5081345.,  4,  1,      3.571E-03
   737691.,  5081395.,  4,  2,      4.493E-03
   737691.,  5081445.,  4,  3,      5.012E-03
   737691.,  5081495.,  4,  4,      5.290E-03
   737691.,  5081545.,  4,  5,      5.443E-03
   737691.,  5081595.,  4,  6,      5.567E-03
   737691.,  5081645.,  4,  7,      5.696E-03
   737691.,  5081695.,  4,  8,      5.819E-03
   737691.,  5081745.,  4,  9,      5.927E-03
   737691.,  5081795.,  4, 10,      6.014E-03
   737691.,  5081845.,  4, 11,      6.071E-03
   737691.,  5081895.,  4, 12,      6.103E-03
   737691.,  5081945.,  4, 13,      6.130E-03
   737691.,  5081995.,  4, 14,      6.144E-03
   737691.,  5082045.,  4, 15,      6.126E-03
   737691.,  5082095.,  4, 16,      6.030E-03
   737691.,  5082145.,  4, 17,      5.836E-03
   737691.,  5082195.,  4, 18,      5.612E-03
   737691.,  5082245.,  4, 19,      5.411E-03
   737691.,  5082295.,  4, 20,      5.290E-03
   737691.,  5082345.,  4, 21,      5.284E-03
   737691.,  5082395.,  4, 22,      5.371E-03
   737691.,  5082445.,  4, 23,      5.471E-03
   737691.,  5082495.,  4, 24,      5.507E-03
   737691.,  5082545.,  4, 25,      5.452E-03
   737691.,  5082595.,  4, 26,      5.317E-03
   737691.,  5082645.,  4, 27,      5.162E-03
   737691.,  5082695.,  4, 28,      5.043E-03
   737691.,  5082745.,  4, 29,      4.941E-03
   737691.,  5082795.,  4, 30,      4.814E-03
   737691.,  5082845.,  4, 31,      4.629E-03
   737691.,  5082895.,  4, 32,      4.378E-03
   737691.,  5082945.,  4, 33,      4.085E-03
   737691.,  5082995.,  4, 34,      3.773E-03
   737691.,  5083045.,  4, 35,      3.459E-03
   737691.,  5083095.,  4, 36,      3.170E-03
   737691.,  5083145.,  4, 37,      2.923E-03
   737691.,  5083195.,  4, 38,      2.729E-03
   737691.,  5083245.,  4, 39,      2.605E-03
   737691.,  5083295.,  4, 40,      2.561E-03
   737691.,  5083345.,  4, 41,      2.581E-03
   737691.,  5083395.,  4, 42,      2.634E-03
   737691.,  5083445.,  4, 43,      2.697E-03
   737691.,  5083495.,  4, 44,      2.729E-03
   737691.,  5083545.,  4, 45,      2.702E-03
   737691.,  5083595.,  4, 46,      2.617E-03
   737691.,  5083645.,  4, 47,      2.506E-03
   737691.,  5083695.,  4, 48,      2.402E-03
   737691.,  5083745.,  4, 49,      2.305E-03
   737691.,  5083795.,  4, 50,      2.186E-03
   737691.,  5083845.,  4, 51,      2.065E-03
   737691.,  5083895.,  4, 52,      1.978E-03
   737691.,  5083945.,  4, 53,      1.934E-03
   737691.,  5083995.,  4, 54,      1.911E-03
   737691.,  5084045.,  4, 55,      1.879E-03
   737691.,  5084095.,  4, 56,      1.839E-03
   737691.,  5084145.,  4, 57,      1.786E-03
   737691.,  5084195.,  4, 58,      1.691E-03
   737691.,  5084245.,  4, 59,      1.572E-03
   737691.,  5084295.,  4, 60,      1.478E-03
   737691.,  5084345.,  4, 61,      1.417E-03
   737691.,  5084395.,  4, 62,      1.364E-03
   737691.,  5084445.,  4, 63,      1.305E-03
   737691.,  5084495.,  4, 64,      1.238E-03
   737691.,  5084545.,  4, 65,      1.170E-03
   737691.,  5084595.,  4, 66,      1.111E-03
   737691.,  5084645.,  4, 67,      1.068E-03
   737691.,  5084695.,  4, 68,      1.036E-03
   737691.,  5084745.,  4, 69,      1.009E-03
   737691.,  5084795.,  4, 70,      9.793E-04
   737691.,  5084845.,  4, 71,      9.475E-04
   737691.,  5084895.,  4, 72,      9.211E-04
   737691.,  5084945.,  4, 73,      9.054E-04
   737691.,  5084995.,  4, 74,      8.923E-04
   737691.,  5085045.,  4, 75,      8.530E-04
   737691.,  5085095.,  4, 76,      7.780E-04
   737691.,  5085145.,  4, 77,      7.004E-04
   737691.,  5085195.,  4, 78,      6.402E-04
   737691.,  5085245.,  4, 79,      5.957E-04
   737691.,  5085295.,  4, 80,      5.608E-04
   737691.,  5085345.,  4, 81,      5.304E-04
   737691.,  5085395.,  4, 82,      5.000E-04
   737691.,  5085445.,  4, 83,      4.663E-04
   737691.,  5085495.,  4, 84,      4.289E-04
   737691.,  5085545.,  4, 85,      3.913E-04
   737691.,  5085595.,  4, 86,      3.592E-04
   737691.,  5085645.,  4, 87,      3.351E-04
   737691.,  5085695.,  4, 88,      3.193E-04
   737691.,  5085745.,  4, 89,      3.079E-04
   737691.,  5085795.,  4, 90,      2.936E-04
   737691.,  5085845.,  4, 91,      2.762E-04
   737691.,  5085895.,  4, 92,      2.587E-04
   737691.,  5085945.,  4, 93,      2.359E-04
   737691.,  5085995.,  4, 94,      2.046E-04
   737691.,  5086045.,  4, 95,      1.711E-04
   737691.,  5086095.,  4, 96,      1.423E-04
   737691.,  5086145.,  4, 97,      1.196E-04
   737691.,  5086195.,  4, 98,      1.014E-04
   737691.,  5086245.,  4, 99,      8.676E-05
   737691.,  5086295.,  4,100,      7.497E-05
   737741.,  5081345.,  5,  1,      3.809E-03
   737741.,  5081395.,  5,  2,      4.809E-03
   737741.,  5081445.,  5,  3,      5.386E-03
   737741.,  5081495.,  5,  4,      5.687E-03
   737741.,  5081545.,  5,  5,      5.829E-03
   737741.,  5081595.,  5,  6,      5.930E-03
   737741.,  5081645.,  5,  7,      6.031E-03
   737741.,  5081695.,  5,  8,      6.135E-03
   737741.,  5081745.,  5,  9,      6.245E-03
   737741.,  5081795.,  5, 10,      6.352E-03
   737741.,  5081845.,  5, 11,      6.429E-03
   737741.,  5081895.,  5, 12,      6.472E-03
   737741.,  5081945.,  5, 13,      6.496E-03
   737741.,  5081995.,  5, 14,      6.510E-03
   737741.,  5082045.,  5, 15,      6.525E-03
   737741.,  5082095.,  5, 16,      6.480E-03
   737741.,  5082145.,  5, 17,      6.323E-03
   737741.,  5082195.,  5, 18,      6.099E-03
   737741.,  5082245.,  5, 19,      5.866E-03
   737741.,  5082295.,  5, 20,      5.687E-03
   737741.,  5082345.,  5, 21,      5.621E-03
   737741.,  5082395.,  5, 22,      5.676E-03
   737741.,  5082445.,  5, 23,      5.790E-03
   737741.,  5082495.,  5, 24,      5.868E-03
   737741.,  5082545.,  5, 25,      5.856E-03
   737741.,  5082595.,  5, 26,      5.744E-03
   737741.,  5082645.,  5, 27,      5.581E-03
   737741.,  5082695.,  5, 28,      5.441E-03
   737741.,  5082745.,  5, 29,      5.329E-03
   737741.,  5082795.,  5, 30,      5.211E-03
   737741.,  5082845.,  5, 31,      5.038E-03
   737741.,  5082895.,  5, 32,      4.791E-03
   737741.,  5082945.,  5, 33,      4.488E-03
   737741.,  5082995.,  5, 34,      4.148E-03
   737741.,  5083045.,  5, 35,      3.800E-03
   737741.,  5083095.,  5, 36,      3.480E-03
   737741.,  5083145.,  5, 37,      3.203E-03
   737741.,  5083195.,  5, 38,      2.984E-03
   737741.,  5083245.,  5, 39,      2.837E-03
   737741.,  5083295.,  5, 40,      2.773E-03
   737741.,  5083345.,  5, 41,      2.778E-03
   737741.,  5083395.,  5, 42,      2.826E-03
   737741.,  5083445.,  5, 43,      2.891E-03
   737741.,  5083495.,  5, 44,      2.929E-03
   737741.,  5083545.,  5, 45,      2.901E-03
   737741.,  5083595.,  5, 46,      2.811E-03
   737741.,  5083645.,  5, 47,      2.698E-03
   737741.,  5083695.,  5, 48,      2.594E-03
   737741.,  5083745.,  5, 49,      2.487E-03
   737741.,  5083795.,  5, 50,      2.356E-03
   737741.,  5083845.,  5, 51,      2.224E-03
   737741.,  5083895.,  5, 52,      2.131E-03
   737741.,  5083945.,  5, 53,      2.082E-03
   737741.,  5083995.,  5, 54,      2.051E-03
   737741.,  5084045.,  5, 55,      2.009E-03
   737741.,  5084095.,  5, 56,      1.960E-03
   737741.,  5084145.,  5, 57,      1.896E-03
   737741.,  5084195.,  5, 58,      1.791E-03
   737741.,  5084245.,  5, 59,      1.669E-03
   737741.,  5084295.,  5, 60,      1.574E-03
   737741.,  5084345.,  5, 61,      1.510E-03
   737741.,  5084395.,  5, 62,      1.455E-03
   737741.,  5084445.,  5, 63,      1.393E-03
   737741.,  5084495.,  5, 64,      1.325E-03
   737741.,  5084545.,  5, 65,      1.255E-03
   737741.,  5084595.,  5, 66,      1.191E-03
   737741.,  5084645.,  5, 67,      1.143E-03
   737741.,  5084695.,  5, 68,      1.107E-03
   737741.,  5084745.,  5, 69,      1.075E-03
   737741.,  5084795.,  5, 70,      1.044E-03
   737741.,  5084845.,  5, 71,      1.013E-03
   737741.,  5084895.,  5, 72,      9.892E-04
   737741.,  5084945.,  5, 73,      9.725E-04
   737741.,  5084995.,  5, 74,      9.536E-04
   737741.,  5085045.,  5, 75,      9.065E-04
   737741.,  5085095.,  5, 76,      8.274E-04
   737741.,  5085145.,  5, 77,      7.496E-04
   737741.,  5085195.,  5, 78,      6.894E-04
   737741.,  5085245.,  5, 79,      6.438E-04
   737741.,  5085295.,  5, 80,      6.079E-04
   737741.,  5085345.,  5, 81,      5.756E-04
   737741.,  5085395.,  5, 82,      5.410E-04
   737741.,  5085445.,  5, 83,      5.013E-04
   737741.,  5085495.,  5, 84,      4.595E-04
   737741.,  5085545.,  5, 85,      4.206E-04
   737741.,  5085595.,  5, 86,      3.874E-04
   737741.,  5085645.,  5, 87,      3.621E-04
   737741.,  5085695.,  5, 88,      3.451E-04
   737741.,  5085745.,  5, 89,      3.315E-04
   737741.,  5085795.,  5, 90,      3.151E-04
   737741.,  5085845.,  5, 91,      2.948E-04
   737741.,  5085895.,  5, 92,      2.746E-04
   737741.,  5085945.,  5, 93,      2.507E-04
   737741.,  5085995.,  5, 94,      2.199E-04
   737741.,  5086045.,  5, 95,      1.861E-04
   737741.,  5086095.,  5, 96,      1.555E-04
   737741.,  5086145.,  5, 97,      1.303E-04
   737741.,  5086195.,  5, 98,      1.098E-04
   737741.,  5086245.,  5, 99,      9.337E-05
   737741.,  5086295.,  5,100,      8.020E-05
   737791.,  5081345.,  6,  1,      3.981E-03
   737791.,  5081395.,  6,  2,      5.043E-03
   737791.,  5081445.,  6,  3,      5.681E-03
   737791.,  5081495.,  6,  4,      6.027E-03
   737791.,  5081545.,  6,  5,      6.181E-03
   737791.,  5081595.,  6,  6,      6.260E-03
   737791.,  5081645.,  6,  7,      6.321E-03
   737791.,  5081695.,  6,  8,      6.387E-03
   737791.,  5081745.,  6,  9,      6.485E-03
   737791.,  5081795.,  6, 10,      6.602E-03
   737791.,  5081845.,  6, 11,      6.694E-03
   737791.,  5081895.,  6, 12,      6.760E-03
   737791.,  5081945.,  6, 13,      6.803E-03
   737791.,  5081995.,  6, 14,      6.832E-03
