 X,Y,I,J,PCT1H
   737691.,  5082195.,  4, 18,      8.281E-02
   737691.,  5082245.,  4, 19,      7.673E-02
   737691.,  5082295.,  4, 20,      7.852E-02
   737691.,  5082345.,  4, 21,      7.853E-02
   737691.,  5082395.,  4, 22,      8.150E-02
   737691.,  5082445.,  4, 23,      8.115E-02
   737691.,  5082495.,  4, 24,      8.015E-02
   737691.,  5082545.,  4, 25,      7.832E-02
   737691.,  5082595.,  4, 26,      7.670E-02
   737691.,  5082645.,  4, 27,      7.342E-02
   737691.,  5082695.,  4, 28,      7.176E-02
   737691.,  5082745.,  4, 29,      6.974E-02
   737691.,  5082795.,  4, 30,      6.393E-02
   737691.,  5082845.,  4, 31,      6.020E-02
   737691.,  5082895.,  4, 32,      5.996E-02
   737691.,  5082945.,  4, 33,      5.432E-02
   737691.,  5082995.,  4, 34,      4.641E-02
   737691.,  5083045.,  4, 35,      3.788E-02
   737691.,  5083095.,  4, 36,      3.747E-02
   737691.,  5083145.,  4, 37,      3.186E-02
   737691.,  5083195.,  4, 38,      2.918E-02
   737691.,  5083245.,  4, 39,      2.553E-02
   737691.,  5083295.,  4, 40,      2.352E-02
   737691.,  5083345.,  4, 41,      2.302E-02
   737691.,  5083395.,  4, 42,      2.348E-02
   737691.,  5083445.,  4, 43,      2.247E-02
   737691.,  5083495.,  4, 44,      2.255E-02
   737691.,  5083545.,  4, 45,      2.289E-02
   737691.,  5083595.,  4, 46,      2.172E-02
   737691.,  5083645.,  4, 47,      2.114E-02
   737691.,  5083695.,  4, 48,      1.878E-02
   737691.,  5083745.,  4, 49,      1.649E-02
   737691.,  5083795.,  4, 50,      1.583E-02
   737691.,  5083845.,  4, 51,      1.543E-02
   737691.,  5083895.,  4, 52,      1.323E-02
   737691.,  5083945.,  4, 53,      1.249E-02
   737691.,  5083995.,  4, 54,      1.106E-02
   737691.,  5084045.,  4, 55,      1.088E-02
   737691.,  5084095.,  4, 56,      1.023E-02
   737691.,  5084145.,  4, 57,      9.356E-03
   737691.,  5084195.,  4, 58,      9.361E-03
   737691.,  5084245.,  4, 59,      8.410E-03
   737691.,  5084295.,  4, 60,      7.958E-03
   737691.,  5084345.,  4, 61,      7.269E-03
   737691.,  5084395.,  4, 62,      6.451E-03
   737691.,  5084445.,  4, 63,      6.014E-03
   737691.,  5084495.,  4, 64,      5.721E-03
   737691.,  5084545.,  4, 65,      5.384E-03
   737691.,  5084595.,  4, 66,      5.113E-03
   737691.,  5084645.,  4, 67,      4.927E-03
   737691.,  5084695.,  4, 68,      4.669E-03
   737691.,  5084745.,  4, 69,      4.582E-03
   737691.,  5084795.,  4, 70,      4.131E-03
   737691.,  5084845.,  4, 71,      3.983E-03
   737691.,  5084895.,  4, 72,      3.712E-03
   737691.,  5084945.,  4, 73,      3.561E-03
   737691.,  5084995.,  4, 74,      3.452E-03
   737691.,  5085045.,  4, 75,      3.210E-03
   737691.,  5085095.,  4, 76,      3.024E-03
   737691.,  5085145.,  4, 77,      2.863E-03
   737691.,  5085195.,  4, 78,      2.641E-03
   737691.,  5085245.,  4, 79,      2.561E-03
   737691.,  5085295.,  4, 80,      2.414E-03
   737691.,  5085345.,  4, 81,      2.259E-03
   737691.,  5085395.,  4, 82,      2.129E-03
   737691.,  5085445.,  4, 83,      1.927E-03
   737691.,  5085495.,  4, 84,      1.753E-03
   737691.,  5085545.,  4, 85,      1.640E-03
   737691.,  5085595.,  4, 86,      1.545E-03
   737691.,  5085645.,  4, 87,      1.504E-03
   737691.,  5085695.,  4, 88,      1.411E-03
   737691.,  5085745.,  4, 89,      1.309E-03
   737691.,  5085795.,  4, 90,      1.237E-03
