 X,Y,I,J,PCTD
   737691.,  5084945.,  4, 73,      0.000E+00
   737691.,  5084995.,  4, 74,      0.000E+00
   737691.,  5085045.,  4, 75,      0.000E+00
   737691.,  5085095.,  4, 76,      0.000E+00
   737691.,  5085145.,  4, 77,      0.000E+00
   737691.,  5085195.,  4, 78,      0.000E+00
   737691.,  5085245.,  4, 79,      0.000E+00
   737691.,  5085295.,  4, 80,      0.000E+00
   737691.,  5085345.,  4, 81,      0.000E+00
   737691.,  5085395.,  4, 82,      0.000E+00
   737691.,  5085445.,  4, 83,      0.000E+00
   737691.,  5085495.,  4, 84,      0.000E+00
   737691.,  5085545.,  4, 85,      0.000E+00
   737691.,  5085595.,  4, 86,      0.000E+00
   737691.,  5085645.,  4, 87,      0.000E+00
   737691.,  5085695.,  4, 88,      0.000E+00
   737691.,  5085745.,  4, 89,      0.000E+00
   737691.,  5085795.,  4, 90,      0.000E+00
   737691.,  5085845.,  4, 91,      0.000E+00
   737691.,  5085895.,  4, 92,      0.000E+00
   737691.,  5085945.,  4, 93,      0.000E+00
   737691.,  5085995.,  4, 94,      0.000E+00
   737691.,  5086045.,  4, 95,      0.000E+00
   737691.,  5086095.,  4, 96,      0.000E+00
   737691.,  5086145.,  4, 97,      0.000E+00
   737691.,  5086195.,  4, 98,      0.000E+00
   737691.,  5086245.,  4, 99,      0.000E+00
   737691.,  5086295.,  4,100,      0.000E+00
   737741.,  5081345.,  5,  1,      0.000E+00
   737741.,  5081395.,  5,  2,      0.000E+00
   737741.,  5081445.,  5,  3,      0.000E+00
   737741.,  5081495.,  5,  4,      0.000E+00
   737741.,  5081545.,  5,  5,      0.000E+00
   737741.,  5081595.,  5,  6,      0.000E+00
   737741.,  5081645.,  5,  7,      0.000E+00
   737741.,  5081695.,  5,  8,      0.000E+00
   737741.,  5081745.,  5,  9,      0.000E+00
   737741.,  5081795.,  5, 10,      0.000E+00
   737741.,  5081845.,  5, 11,      0.000E+00
   737741.,  5081895.,  5, 12,      0.000E+00
   737741.,  5081945.,  5, 13,      0.000E+00
   737741.,  5081995.,  5, 14,      0.000E+00
   737741.,  5082045.,  5, 15,      0.000E+00
   737741.,  5082095.,  5, 16,      0.000E+00
   737741.,  5082145.,  5, 17,      0.000E+00
   737741.,  5082195.,  5, 18,      0.000E+00
   737741.,  5082245.,  5, 19,      0.000E+00
   737741.,  5082295.,  5, 20,      0.000E+00
   737741.,  5082345.,  5, 21,      0.000E+00
   737741.,  5082395.,  5, 22,      0.000E+00
   737741.,  5082445.,  5, 23,      0.000E+00
   737741.,  5082495.,  5, 24,      0.000E+00
   737741.,  5082545.,  5, 25,      0.000E+00
   737741.,  5082595.,  5, 26,      0.000E+00
   737741.,  5082645.,  5, 27,      0.000E+00
   737741.,  5082695.,  5, 28,      0.000E+00
   737741.,  5082745.,  5, 29,      0.000E+00
   737741.,  5082795.,  5, 30,      0.000E+00
   737741.,  5082845.,  5, 31,      0.000E+00
   737741.,  5082895.,  5, 32,      0.000E+00
   737741.,  5082945.,  5, 33,      0.000E+00
   737741.,  5082995.,  5, 34,      0.000E+00
   737741.,  5083045.,  5, 35,      0.000E+00
   737741.,  5083095.,  5, 36,      0.000E+00
   737741.,  5083145.,  5, 37,      0.000E+00
   737741.,  5083195.,  5, 38,      0.000E+00
   737741.,  5083245.,  5, 39,      0.000E+00
   737741.,  5083295.,  5, 40,      0.000E+00
   737741.,  5083345.,  5, 41,      0.000E+00
   737741.,  5083395.,  5, 42,      0.000E+00
   737741.,  5083445.,  5, 43,      0.000E+00
   737741.,  5083495.,  5, 44,      0.000E+00
   737741.,  5083545.,  5, 45,      0.000E+00
   737741.,  5083595.,  5, 46,      0.000E+00
   737741.,  5083645.,  5, 47,      0.000E+00
   737741.,  5083695.,  5, 48,      0.000E+00
   737741.,  5083745.,  5, 49,      0.000E+00
   737741.,  5083795.,  5, 50,      0.000E+00
   737741.,  5083845.,  5, 51,      0.000E+00
   737741.,  5083895.,  5, 52,      0.000E+00
   737741.,  5083945.,  5, 53,      0.000E+00
   737741.,  5083995.,  5, 54,      0.000E+00
   737741.,  5084045.,  5, 55,      0.000E+00
   737741.,  5084095.,  5, 56,      0.000E+00
   737741.,  5084145.,  5, 57,      0.000E+00
   737741.,  5084195.,  5, 58,      0.000E+00
   737741.,  5084245.,  5, 59,      0.000E+00
   737741.,  5084295.,  5, 60,      0.000E+00
   737741.,  5084345.,  5, 61,      0.000E+00
   737741.,  5084395.,  5, 62,      0.000E+00
   737741.,  5084445.,  5, 63,      0.000E+00
   737741.,  5084495.,  5, 64,      0.000E+00
   737741.,  5084545.,  5, 65,      0.000E+00
   737741.,  5084595.,  5, 66,      0.000E+00
   737741.,  5084645.,  5, 67,      0.000E+00
   737741.,  5084695.,  5, 68,      0.000E+00
   737741.,  5084745.,  5, 69,      0.000E+00
   737741.,  5084795.,  5, 70,      0.000E+00
   737741.,  5084845.,  5, 71,      0.000E+00
   737741.,  5084895.,  5, 72,      0.000E+00
   737741.,  5084945.,  5, 73,      0.000E+00
   737741.,  5084995.,  5, 74,      0.000E+00
   737741.,  5085045.,  5, 75,      0.000E+00
   737741.,  5085095.,  5, 76,      0.000E+00
   737741.,  5085145.,  5, 77,      0.000E+00
   737741.,  5085195.,  5, 78,      0.000E+00
   737741.,  5085245.,  5, 79,      0.000E+00
   737741.,  5085295.,  5, 80,      0.000E+00
   737741.,  5085345.,  5, 81,      0.000E+00
   737741.,  5085395.,  5, 82,      0.000E+00
   737741.,  5085445.,  5, 83,      0.000E+00
   737741.,  5085495.,  5, 84,      0.000E+00
   737741.,  5085545.,  5, 85,      0.000E+00
   737741.,  5085595.,  5, 86,      0.000E+00
   737741.,  5085645.,  5, 87,      0.000E+00
   737741.,  5085695.,  5, 88,      0.000E+00
   737741.,  5085745.,  5, 89,      0.000E+00
   737741.,  5085795.,  5, 90,      0.000E+00
   737741.,  5085845.,  5, 91,      0.000E+00
   737741.,  5085895.,  5, 92,      0.000E+00
   737741.,  5085945.,  5, 93,      0.000E+00
   737741.,  5085995.,  5, 94,      0.000E+00
   737741.,  5086045.,  5, 95,      0.000E+00
   737741.,  5086095.,  5, 96,      0.000E+00
   737741.,  5086145.,  5, 97,      0.000E+00
   737741.,  5086195.,  5, 98,      0.000E+00
   737741.,  5086245.,  5, 99,      0.000E+00
   737741.,  5086295.,  5,100,      0.000E+00
   737791.,  5081345.,  6,  1,      0.000E+00
   737791.,  5081395.,  6,  2,      0.000E+00
   737791.,  5081445.,  6,  3,      0.000E+00
   737791.,  5081495.,  6,  4,      0.000E+00
   737791.,  5081545.,  6,  5,      0.000E+00
   737791.,  5081595.,  6,  6,      0.000E+00
   737791.,  5081645.,  6,  7,      0.000E+00
   737791.,  5081695.,  6,  8,      0.000E+00
   737791.,  5081745.,  6,  9,      0.000E+00
   737791.,  5081795.,  6, 10,      0.000E+00
   737791.,  5081845.,  6, 11,      0.000E+00
   737791.,  5081895.,  6, 12,      0.000E+00
   737791.,  5081945.,  6, 13,      0.000E+00
   737791.,  5081995.,  6, 14,      0.000E+00
   737791.,  5082045.,  6, 15,      0.000E+00
   737791.,  5082095.,  6, 16,      0.000E+00
   737791.,  5082145.,  6, 17,      0.000E+00
   737791.,  5082195.,  6, 18,      0.000E+00
   737791.,  5082245.,  6, 19,      0.000E+00
   737791.,  5082295.,  6, 20,      0.000E+00
   737791.,  5082345.,  6, 21,      0.000E+00
   737791.,  5082395.,  6, 22,      0.000E+00
   737791.,  5082445.,  6, 23,      0.000E+00
   737791.,  5082495.,  6, 24,      0.000E+00
   737791.,  5082545.,  6, 25,      0.000E+00
   737791.,  5082595.,  6, 26,      0.000E+00
   737791.,  5082645.,  6, 27,      0.000E+00
   737791.,  5082695.,  6, 28,      0.000E+00
   737791.,  5082745.,  6, 29,      0.000E+00
   737791.,  5082795.,  6, 30,      0.000E+00
   737791.,  5082845.,  6, 31,      0.000E+00
   737791.,  5082895.,  6, 32,      0.000E+00
   737791.,  5082945.,  6, 33,      0.000E+00
   737791.,  5082995.,  6, 34,      0.000E+00
   737791.,  5083045.,  6, 35,      0.000E+00
   737791.,  5083095.,  6, 36,      0.000E+00
   737791.,  5083145.,  6, 37,      0.000E+00
   737791.,  5083195.,  6, 38,      0.000E+00
   737791.,  5083245.,  6, 39,      0.000E+00
   737791.,  5083295.,  6, 40,      0.000E+00
   737791.,  5083345.,  6, 41,      0.000E+00
   737791.,  5083395.,  6, 42,      0.000E+00
   737791.,  5083445.,  6, 43,      0.000E+00
   737791.,  5083495.,  6, 44,      0.000E+00
   737791.,  5083545.,  6, 45,      0.000E+00
   737791.,  5083595.,  6, 46,      0.000E+00
   737791.,  5083645.,  6, 47,      0.000E+00
   737791.,  5083695.,  6, 48,      0.000E+00
   737791.,  5083745.,  6, 49,      0.000E+00
   737791.,  5083795.,  6, 50,      0.000E+00
   737791.,  5083845.,  6, 51,      0.000E+00
   737791.,  5083895.,  6, 52,      0.000E+00
   737791.,  5083945.,  6, 53,      0.000E+00
   737791.,  5083995.,  6, 54,      0.000E+00
   737791.,  5084045.,  6, 55,      0.000E+00
   737791.,  5084095.,  6, 56,      0.000E+00
   737791.,  5084145.,  6, 57,      0.000E+00
