 X,Y,I,J,MAX1H,NSUP1H,EPISODES,DURMAX
   737641.,  5081595.,  3,  6,      3.362E-01,     0,     0,    0.
   737641.,  5081645.,  3,  7,      4.035E-01,     0,     0,    0.
   737641.,  5081695.,  3,  8,      4.268E-01,     0,     0,    0.
   737641.,  5081745.,  3,  9,      4.025E-01,     0,     0,    0.
   737641.,  5081795.,  3, 10,      3.457E-01,     0,     0,    0.
   737641.,  5081845.,  3, 11,      3.533E-01,     0,     0,    0.
   737641.,  5081895.,  3, 12,      3.668E-01,     0,     0,    0.
   737641.,  5081945.,  3, 13,      3.577E-01,     0,     0,    0.
   737641.,  5081995.,  3, 14,      4.191E-01,     0,     0,    0.
   737641.,  5082045.,  3, 15,      4.275E-01,     0,     0,    0.
   737641.,  5082095.,  3, 16,      4.349E-01,     0,     0,    0.
   737641.,  5082145.,  3, 17,      4.014E-01,     0,     0,    0.
   737641.,  5082195.,  3, 18,      4.256E-01,     0,     0,    0.
   737641.,  5082245.,  3, 19,      3.799E-01,     0,     0,    0.
   737641.,  5082295.,  3, 20,      4.026E-01,     0,     0,    0.
   737641.,  5082345.,  3, 21,      3.698E-01,     0,     0,    0.
   737641.,  5082395.,  3, 22,      3.993E-01,     0,     0,    0.
   737641.,  5082445.,  3, 23,      4.970E-01,     0,     0,    0.
   737641.,  5082495.,  3, 24,      4.606E-01,     0,     0,    0.
   737641.,  5082545.,  3, 25,      4.221E-01,     0,     0,    0.
   737641.,  5082595.,  3, 26,      4.248E-01,     0,     0,    0.
   737641.,  5082645.,  3, 27,      4.130E-01,     0,     0,    0.
   737641.,  5082695.,  3, 28,      4.856E-01,     0,     0,    0.
   737641.,  5082745.,  3, 29,      4.617E-01,     0,     0,    0.
   737641.,  5082795.,  3, 30,      4.164E-01,     0,     0,    0.
   737641.,  5082845.,  3, 31,      4.292E-01,     0,     0,    0.
   737641.,  5082895.,  3, 32,      4.569E-01,     0,     0,    0.
   737641.,  5082945.,  3, 33,      4.270E-01,     0,     0,    0.
   737641.,  5082995.,  3, 34,      3.984E-01,     0,     0,    0.
   737641.,  5083045.,  3, 35,      4.795E-01,     0,     0,    0.
   737641.,  5083095.,  3, 36,      5.019E-01,     0,     0,    0.
   737641.,  5083145.,  3, 37,      4.495E-01,     0,     0,    0.
   737641.,  5083195.,  3, 38,      3.726E-01,     0,     0,    0.
   737641.,  5083245.,  3, 39,      2.764E-01,     0,     0,    0.
   737641.,  5083295.,  3, 40,      3.299E-01,     0,     0,    0.
   737641.,  5083345.,  3, 41,      4.185E-01,     0,     0,    0.
   737641.,  5083395.,  3, 42,      4.636E-01,     0,     0,    0.
   737641.,  5083445.,  3, 43,      4.538E-01,     0,     0,    0.
   737641.,  5083495.,  3, 44,      4.323E-01,     0,     0,    0.
   737641.,  5083545.,  3, 45,      3.935E-01,     0,     0,    0.
   737641.,  5083595.,  3, 46,      3.479E-01,     0,     0,    0.
   737641.,  5083645.,  3, 47,      4.652E-01,     0,     0,    0.
   737641.,  5083695.,  3, 48,      4.624E-01,     0,     0,    0.
   737641.,  5083745.,  3, 49,      4.020E-01,     0,     0,    0.
   737641.,  5083795.,  3, 50,      4.130E-01,     0,     0,    0.
   737641.,  5083845.,  3, 51,      4.009E-01,     0,     0,    0.
   737641.,  5083895.,  3, 52,      3.471E-01,     0,     0,    0.
   737641.,  5083945.,  3, 53,      3.273E-01,     0,     0,    0.
   737641.,  5083995.,  3, 54,      3.697E-01,     0,     0,    0.
   737641.,  5084045.,  3, 55,      3.536E-01,     0,     0,    0.
   737641.,  5084095.,  3, 56,      3.792E-01,     0,     0,    0.
   737641.,  5084145.,  3, 57,      3.759E-01,     0,     0,    0.
   737641.,  5084195.,  3, 58,      3.923E-01,     0,     0,    0.
   737641.,  5084245.,  3, 59,      3.479E-01,     0,     0,    0.
   737641.,  5084295.,  3, 60,      3.418E-01,     0,     0,    0.
   737641.,  5084345.,  3, 61,      4.433E-01,     0,     0,    0.
   737641.,  5084395.,  3, 62,      4.509E-01,     0,     0,    0.
   737641.,  5084445.,  3, 63,      4.305E-01,     0,     0,    0.
   737641.,  5084495.,  3, 64,      3.997E-01,     0,     0,    0.
   737641.,  5084545.,  3, 65,      3.732E-01,     0,     0,    0.
   737641.,  5084595.,  3, 66,      3.498E-01,     0,     0,    0.
   737641.,  5084645.,  3, 67,      3.116E-01,     0,     0,    0.
   737641.,  5084695.,  3, 68,      2.648E-01,     0,     0,    0.
   737641.,  5084745.,  3, 69,      3.118E-01,     0,     0,    0.
   737641.,  5084795.,  3, 70,      3.066E-01,     0,     0,    0.
   737641.,  5084845.,  3, 71,      2.601E-01,     0,     0,    0.
   737641.,  5084895.,  3, 72,      2.512E-01,     0,     0,    0.
   737641.,  5084945.,  3, 73,      2.715E-01,     0,     0,    0.
   737641.,  5084995.,  3, 74,      2.831E-01,     0,     0,    0.
   737641.,  5085045.,  3, 75,      2.578E-01,     0,     0,    0.
   737641.,  5085095.,  3, 76,      2.251E-01,     0,     0,    0.
   737641.,  5085145.,  3, 77,      1.834E-01,     0,     0,    0.
   737641.,  5085195.,  3, 78,      2.064E-01,     0,     0,    0.
   737641.,  5085245.,  3, 79,      2.205E-01,     0,     0,    0.
   737641.,  5085295.,  3, 80,      2.184E-01,     0,     0,    0.
   737641.,  5085345.,  3, 81,      2.317E-01,     0,     0,    0.
   737641.,  5085395.,  3, 82,      2.377E-01,     0,     0,    0.
   737641.,  5085445.,  3, 83,      2.662E-01,     0,     0,    0.
   737641.,  5085495.,  3, 84,      2.436E-01,     0,     0,    0.
   737641.,  5085545.,  3, 85,      2.083E-01,     0,     0,    0.
   737641.,  5085595.,  3, 86,      1.859E-01,     0,     0,    0.
   737641.,  5085645.,  3, 87,      1.715E-01,     0,     0,    0.
   737641.,  5085695.,  3, 88,      1.569E-01,     0,     0,    0.
   737641.,  5085745.,  3, 89,      1.400E-01,     0,     0,    0.
   737641.,  5085795.,  3, 90,      1.532E-01,     0,     0,    0.
   737641.,  5085845.,  3, 91,      2.037E-01,     0,     0,    0.
   737641.,  5085895.,  3, 92,      2.553E-01,     0,     0,    0.
   737641.,  5085945.,  3, 93,      2.661E-01,     0,     0,    0.
   737641.,  5085995.,  3, 94,      2.218E-01,     0,     0,    0.
   737641.,  5086045.,  3, 95,      1.579E-01,     0,     0,    0.
   737641.,  5086095.,  3, 96,      1.081E-01,     0,     0,    0.
   737641.,  5086145.,  3, 97,      7.567E-02,     0,     0,    0.
   737641.,  5086195.,  3, 98,      5.284E-02,     0,     0,    0.
   737641.,  5086245.,  3, 99,      3.561E-02,     0,     0,    0.
   737641.,  5086295.,  3,100,      2.296E-02,     0,     0,    0.
   737691.,  5081345.,  4,  1,      2.547E-01,     0,     0,    0.
   737691.,  5081395.,  4,  2,      3.017E-01,     0,     0,    0.
   737691.,  5081445.,  4,  3,      3.027E-01,     0,     0,    0.
   737691.,  5081495.,  4,  4,      3.481E-01,     0,     0,    0.
   737691.,  5081545.,  4,  5,      3.721E-01,     0,     0,    0.
   737691.,  5081595.,  4,  6,      3.521E-01,     0,     0,    0.
   737691.,  5081645.,  4,  7,      3.906E-01,     0,     0,    0.
   737691.,  5081695.,  4,  8,      4.421E-01,     0,     0,    0.
   737691.,  5081745.,  4,  9,      4.470E-01,     0,     0,    0.
   737691.,  5081795.,  4, 10,      4.083E-01,     0,     0,    0.
   737691.,  5081845.,  4, 11,      3.803E-01,     0,     0,    0.
   737691.,  5081895.,  4, 12,      3.781E-01,     0,     0,    0.
   737691.,  5081945.,  4, 13,      3.862E-01,     0,     0,    0.
   737691.,  5081995.,  4, 14,      3.978E-01,     0,     0,    0.
   737691.,  5082045.,  4, 15,      4.524E-01,     0,     0,    0.
   737691.,  5082095.,  4, 16,      4.858E-01,     0,     0,    0.
   737691.,  5082145.,  4, 17,      4.728E-01,     0,     0,    0.
   737691.,  5082195.,  4, 18,      4.206E-01,     0,     0,    0.
   737691.,  5082245.,  4, 19,      4.275E-01,     0,     0,    0.
   737691.,  5082295.,  4, 20,      4.407E-01,     0,     0,    0.
   737691.,  5082345.,  4, 21,      4.419E-01,     0,     0,    0.
   737691.,  5082395.,  4, 22,      3.986E-01,     0,     0,    0.
   737691.,  5082445.,  4, 23,      4.927E-01,     0,     0,    0.
   737691.,  5082495.,  4, 24,      5.214E-01,     0,     0,    0.
   737691.,  5082545.,  4, 25,      4.498E-01,     0,     0,    0.
   737691.,  5082595.,  4, 26,      4.682E-01,     0,     0,    0.
   737691.,  5082645.,  4, 27,      4.538E-01,     0,     0,    0.
   737691.,  5082695.,  4, 28,      5.040E-01,     0,     0,    0.
   737691.,  5082745.,  4, 29,      5.099E-01,     0,     0,    0.
   737691.,  5082795.,  4, 30,      4.345E-01,     0,     0,    0.
